id,precision,recall,f1_score,agent_refactoring_count,oracle_count
102071,0,0.0,0,0,3
102072,0.5,0.3333333333333333,0.4,2,3
102091,1.0,0.3333333333333333,0.5,1,3
102101,1.0,0.16666666666666666,0.2857142857142857,1,6
102111,1.0,0.3333333333333333,0.5,1,3
102121,0.0,0.0,0,1,5
102122,0.375,0.75,0.5,8,4
102123,0.3,0.75,0.4285714285714285,10,4
102171,1.0,0.5,0.6666666666666666,1,2
102172,1.0,0.5,0.6666666666666666,1,2
102173,1.0,1.0,1.0,2,2
102174,0,0.0,0,0,2
102191,1.0,0.25,0.4,1,4
112601,1.0,0.3333333333333333,0.5,2,6
112621,0.6666666666666666,1.0,0.8,3,2
112641,1.0,0.0196078431372549,0.038461538461538464,1,51
112651,1.0,0.13333333333333333,0.23529411764705882,4,30
112661,1.0,0.25,0.4,3,12
112662,0.5,0.5,0.5,2,2
112681,1.0,0.2222222222222222,0.3636363636363636,2,9
112691,0.6666666666666666,0.3333333333333333,0.4444444444444444,3,6
112692,0,0.0,0,0,5
112701,0.0,0.0,0,3,4
112702,0.0,0.0,0,2,7
112703,0.5,0.5,0.5,2,2
112721,1.0,1.0,1.0,3,3
112722,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
112723,0.3333333333333333,0.6666666666666666,0.4444444444444444,6,3
112724,1.0,1.0,1.0,3,3
112725,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3
112726,1.0,1.0,1.0,2,2
112727,1.0,1.0,1.0,2,2
112741,1.0,0.7272727272727273,0.8421052631578948,8,11
112742,0.0,0.0,0,13,4
116351,0,0.0,0,0,6
116352,1.0,0.5,0.6666666666666666,2,4
116353,0,0.0,0,0,4
117351,1.0,0.3333333333333333,0.5,1,3
117352,0,0.0,0,0,3
118071,0,0.0,0,0,3
118201,0.5,1.0,0.6666666666666666,6,3
118202,0.6666666666666666,0.5,0.5714285714285715,3,4
119621,1.0,0.5,0.6666666666666666,2,4
119622,0,0.0,0,0,2
119831,1.0,0.07692307692307693,0.14285714285714288,2,26
120641,1.0,0.5,0.6666666666666666,1,2
121521,1.0,1.0,1.0,2,2
121522,1.0,1.0,1.0,2,2
121523,0,0.0,0,0,2
121524,1.0,0.5,0.6666666666666666,1,2
121525,1.0,1.0,1.0,2,2
122381,0,0.0,0,0,6
132341,0.0,0.0,0,1,2
132342,1.0,1.0,1.0,2,2
132343,1.0,1.0,1.0,2,2
132344,1.0,0.5,0.6666666666666666,2,4
132345,0.0,0.0,0,1,1
132451,1.0,0.08333333333333333,0.15384615384615385,1,12
132452,1.0,0.5,0.6666666666666666,1,2
132481,0.5,0.3333333333333333,0.4,2,3
132482,1.0,0.3333333333333333,0.5,1,3
132483,1.0,0.25,0.4,1,4
